COUNTY,Total,Arson,,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,,P-W-F,Railroad,Smoking,Undet.,Vehicle
Sacramento,"$21,201",,$0,,$0,$0,,$0,,"$1,200",,$0,$0,$0,$0,$0,$1,"$20,000"
San Benito,"$29,602",,$0,,$0,"$1,000",,"$8,000",,$100,,$0,"$20,500",$0,$0,$0,$0,$2
San Bernardino,"$629,245",,$0,,$0,$200,,"$20,000",,,$0,$0,"$604,045",$0,$0,$0,"$5,000",$0
San Diego,"$4,286,760",,$0,,$0,$0,,$0,,"$15,210",,$0,"$23,700",$0,$0,$0,"$3,833,850","$414,000"
San Francisco,$0,,$0,,$0,$0,,$0,,,$0,$0,$0,$0,$0,$0,$0,$0
San Joaquin,"$1,936",,$0,,$0,$0,,$0,,$900,,$0,$0,$0,$0,$0,"$1,036",$0
San Luis Obispo,"$12,215,711",,$700,,$0,$0,,"$23,460",,"$21,300",,$0,$0,$0,$0,$200,"$7,300","$12,162,751"
San Mateo,"$20,200",,$0,,"$15,000",$0,,$0,,,$0,$0,$200,$0,$0,$0,$0,"$5,000"
Santa Clara,"$275,222",,$0,,$0,"$3,500",,"$50,000",,$500,,$0,$200,$0,$0,$0,"$220,002","$1,020"
Santa Cruz,"$8,603",,$0,,$2,$100,,"$1,000",,$300,,$0,$0,$0,$0,$0,$201,"$7,000"
Shasta,"$215,711",,"$52,000",,$0,"$12,211",,$0,,"$100,500",,$0,"$40,000",$0,$0,$0,$700,"$10,300"
Sierra,$0,,$0,,$0,$0,,$0,,,$0,$0,$0,$0,$0,$0,$0,$0
Siskiyou,"$295,712",,$200,,$0,$500,,"$286,411",,$501,,$0,"$1,500",$500,"$1,300",$0,"$4,800",$0
Solano,"$3,103",,$0,,$0,$0,,$100,,"$1,002",,$0,$0,$0,$0,$0,"$2,001",$0
Sonoma,"$665,106",,$0,,$0,$0,,"$1,000",,$502,,$0,"$116,002",$0,$0,$0,"$503,902","$43,700"
Stanislaus,"$8,550",,$0,,"$1,600",$0,,"$4,500",,$100,,$0,$0,$0,$0,$0,"$2,250",$100
Sutter,$0,,$0,,$0,$0,,$0,,,$0,$0,$0,$0,$0,$0,$0,$0
Tehama,"$434,250",,$0,,$0,$200,,"$371,000",,"$7,850",,$0,$200,$0,$0,$0,"$34,000","$21,000"
Trinity,$0,,$0,,$0,$0,,$0,,,$0,$0,$0,$0,$0,$0,$0,$0
Tulare,"$8,664",,$0,,$2,$0,,"$4,000",,"$1,750",,$500,$0,$0,$0,$0,$2,"$2,410"
Tuolumne,"$40,363",,$0,,$0,$601,,"$4,102",,"$4,100",,$0,$0,"$20,750",$0,$0,"$6,260","$4,550"
Yolo,"$5,001,900",,$0,,$0,"$1,600",,$100,,$200,,$0,$0,$0,$0,$0,"$5,000,000",$0
Yuba,"$197,020",,$0,,$0,$4,,$0,,,$0,$0,$0,$0,$0,"$171,000","$26,016",$0
STATE TOTAL,"$148,266,893",,"$106,431,292",,"$10,362,186","$1,088,616",,"$1,429,866",,"$1,716,387",,$501,"$2,414,271","$21,700","$1,302","$196,390","$11,003,861","$13,600,521"
