,date,awnd,prcp,snow,tavg,tmax
humboldt_2016,2016.0,5.35,65.17833333333334,0.0,56.75000000000001,66.4375
humboldt_2011,2011.0,5.4,49.528333333333336,0.0,53.18571428571429,62.142857142857146
santa_clara_2010,2010.0,6.3,23.789090909090906,10.166666666666666,56.675000000000004,65.575
santa_clara_2012,2012.0,6.05,22.705000000000002,0.0,58.4,68.7
santa_clara_2013,2013.0,5.449999999999999,4.645384615384615,0.0,59.114285714285714,69.0142857142857
santa_clara_2014,2014.0,5.55,22.56583333333333,0.0,61.01666666666667,69.91666666666667
santa_clara_2015,2015.0,5.449999999999999,12.8,,60.21666666666666,69.7
santa_clara_2016,2016.0,6.25,26.665,,60.01428571428571,69.11428571428571
santa_clara_2011,2011.0,5.55,16.74666666666667,,59.075,69.2
amador_2010,2010.0,,49.254999999999995,0.0,57.699999999999996,67.86666666666666
amador_2013,2013.0,,13.399999999999999,,60.2,70.85
amador_2014,2014.0,,39.50666666666667,,61.55,71.65
amador_2015,2015.0,,32.22666666666667,0.0,60.95,71.05
amador_2016,2016.0,,52.076666666666675,0.0,59.75,69.6
amador_2011,2011.0,,,,57.1,67.3
amador_2012,2012.0,,,,60.8,69.3
san_bernardino_2010,2010.0,5.866666666666666,12.787083333333333,5.323529411764706,63.834482758620695,76.29655172413793
san_bernardino_2011,2011.0,7.399999999999999,5.981923076923077,8.515384615384615,62.10000000000001,75.46333333333332
san_bernardino_2012,2012.0,7.025,4.5708,5.6499999999999995,64.71666666666667,78.21666666666668
san_bernardino_2013,2013.0,7.275,3.9760714285714287,7.993333333333333,63.24666666666666,77.04999999999998
san_bernardino_2014,2014.0,7.300000000000001,6.573200000000001,5.976923076923077,65.15555555555555,78.41785714285713
san_bernardino_2015,2015.0,7.4,5.891612903225807,2.4833333333333334,65.04827586206896,77.75172413793102
san_bernardino_2016,2016.0,7.466666666666666,8.605000000000002,5.309090909090909,63.1909090909091,75.91363636363637
alameda_2010,2010.0,6.933333333333334,22.29181818181818,0.0,58.43636363636363,67.47272727272727
alameda_2011,2011.0,6.7,15.203,,58.1,67.45454545454545
alameda_2012,2012.0,6.933333333333334,21.567272727272726,0.0,59.28000000000001,69.25
alameda_2013,2013.0,6.3999999999999995,4.444615384615385,0.0,59.56999999999999,70.09
alameda_2014,2014.0,6.633333333333333,20.345714285714283,0.0,61.82500000000001,71.53333333333333
alameda_2015,2015.0,6.7,9.982142857142858,,61.07272727272727,70.89090909090909
alameda_2016,2016.0,7.3,22.852142857142855,0.0,60.53333333333333,70.14999999999999
mendocino_2011,2011.0,2.9,37.06666666666667,,56.142857142857146,68.97142857142856
mendocino_2012,2012.0,3.4,47.352000000000004,,55.84285714285714,68.75714285714285
mendocino_2013,2013.0,3.4,11.532499999999999,,56.9,71.71428571428571
mendocino_2014,2014.0,3.6,47.48,,60.18571428571429,73.32857142857142
mendocino_2015,2015.0,3.4,28.812,,59.300000000000004,72.55555555555556
mendocino_2016,2016.0,3.6,58.75750000000001,,57.01111111111111,68.42222222222222
mendocino_2010,2010.0,3.6,64.344,0.5,55.62222222222223,67.80000000000001
monterey_2011,2011.0,6.4,19.034000000000002,0.5,57.17999999999999,69.78
monterey_2010,2010.0,6.4,22.182307692307692,0.0,57.39166666666667,68.69166666666666
monterey_2012,2012.0,6.6,18.133999999999997,0.0,57.91111111111112,69.52222222222223
monterey_2013,2013.0,6.25,4.192142857142856,0.0,58.824999999999996,72.36666666666666
monterey_2014,2014.0,6.15,16.696363636363635,0.0,61.34166666666666,73.96666666666667
monterey_2015,2015.0,6.300000000000001,8.623636363636363,0.0,60.74615384615385,73.51538461538462
monterey_2016,2016.0,6.8,18.220909090909092,,60.09090909090909,72.91818181818182
sierra_2010,2010.0,,55.75,3.0,45.525,58.625
sierra_2011,2011.0,,31.53,,45.1,59.175
sierra_2012,2012.0,,33.455,,45.4,59.833333333333336
sierra_2013,2013.0,,7.81,22.9,45.86,60.55999999999999
sierra_2014,2014.0,,33.5775,13.0,49.42857142857143,62.37142857142857
sierra_2015,2015.0,,25.265,50.0,48.99999999999999,62.01428571428572
sierra_2016,2016.0,,48.9675,32.233333333333334,47.916666666666664,61.550000000000004
siskiyou_2010,2010.0,4.5,25.397142857142853,9.466666666666667,50.375,62.55500000000001
siskiyou_2011,2011.0,4.25,19.47714285714286,,49.771428571428565,63.02727272727273
siskiyou_2012,2012.0,4.4,33.23,,51.31,64.41
siskiyou_2013,2013.0,4.15,10.266250000000001,18.05,51.510000000000005,65.44
siskiyou_2014,2014.0,4.6,22.381249999999998,0.0,53.81904761904763,67.06190476190476
siskiyou_2016,2016.0,4.5,29.54875,4.3,52.364999999999995,64.83500000000001
siskiyou_2015,2015.0,4.15,20.725714285714282,7.4,54.10454545454545,67.00909090909092
tuolumne_2010,2010.0,,54.35833333333333,78.35000000000001,56.01428571428571,67.64285714285714
tuolumne_2011,2011.0,,31.786666666666665,,54.5125,67.125
tuolumne_2012,2012.0,,34.435,,57.16666666666666,69.7
tuolumne_2014,2014.0,,26.6125,,54.416666666666664,67.43333333333334
tuolumne_2015,2015.0,,27.263333333333335,,56.71666666666667,68.63333333333334
tuolumne_2016,2016.0,,39.275,22.2,54.214285714285715,66.85714285714286
tuolumne_2013,2013.0,,9.175,,57.56,70.56
yolo_2013,2013.0,,4.836,0.0,63.13333333333333,78.0
yolo_2014,2014.0,,20.224,,65.375,79.15
yolo_2015,2015.0,,8.180000000000001,,64.13333333333334,78.3
yolo_2016,2016.0,,20.455000000000002,0.0,63.60000000000001,77.025
yolo_2010,2010.0,,24.983333333333334,0.0,61.849999999999994,74.175
yolo_2012,2012.0,,22.44666666666667,,63.025,76.7
yolo_2011,2011.0,,17.509999999999998,,61.23333333333333,74.7
calaveras_2015,2015.0,,28.44333333333334,0.0,53.1,63.3
calaveras_2016,2016.0,,47.55666666666667,11.033333333333333,51.0,61.1
calaveras_2010,2010.0,,47.035000000000004,0.0,58.85,70.2
calaveras_2013,2013.0,,12.83,,59.1,72.8
calaveras_2014,2014.0,,27.939999999999998,,,
calaveras_2012,2012.0,,23.76,,58.5,71.3
calaveras_2011,2011.0,,20.6,,58.55,70.35
san_diego_2012,2012.0,5.0,10.244,12.5,63.015625,75.115625
san_diego_2013,2013.0,5.35,7.378225806451611,7.166666666666667,62.01388888888888,73.86111111111109
san_diego_2014,2014.0,5.388888888888889,8.548333333333334,2.5500000000000003,64.28181818181818,76.63636363636363
san_diego_2015,2015.0,5.3875,10.59014925373134,0.0,63.75675675675676,75.19459459459459
san_diego_2016,2016.0,5.6625,13.989047619047621,0.0,63.70294117647057,74.89117647058822
san_diego_2010,2010.0,4.957142857142857,24.256153846153836,2.7571428571428567,60.358620689655176,72.09310344827585
san_diego_2011,2011.0,4.7250000000000005,13.357954545454549,29.5,60.53703703703705,72.13333333333333
san_joaquin_2011,2011.0,6.7,13.308571428571428,,60.0,73.0
san_joaquin_2010,2010.0,7.2,21.984,0.0,60.7,73.2
san_joaquin_2014,2014.0,6.7,16.1675,,64.4,78.1
san_joaquin_2015,2015.0,6.7,8.19,,63.8,77.8
san_joaquin_2016,2016.0,7.2,20.67428571428572,0.0,63.3,77.1
san_joaquin_2012,2012.0,7.2,16.513333333333332,,61.7,75.7
san_joaquin_2013,2013.0,6.7,5.614999999999999,,61.8,76.2
placer_2010,2010.0,6.05,67.28818181818181,171.54999999999998,49.99999999999999,60.05555555555556
placer_2011,2011.0,6.3,39.44500000000001,390.4,48.98888888888889,60.07777777777778
placer_2012,2012.0,6.35,53.99181818181819,352.15000000000003,51.339999999999996,62.33
placer_2013,2013.0,5.7,14.465384615384616,65.3,50.1,61.4625
placer_2014,2014.0,6.45,42.440000000000005,160.55,52.82222222222222,63.699999999999996
placer_2015,2015.0,5.8,26.921538461538457,78.0,52.83,63.739999999999995
placer_2016,2016.0,6.6,59.63666666666666,133.92499999999998,51.660000000000004,62.27
tehama_2010,2010.0,7.4,28.945,0.0,58.349999999999994,68.3
tehama_2011,2011.0,7.4,16.505,,59.31999999999999,70.66
tehama_2012,2012.0,7.4,25.57,,60.449999999999996,71.45
tehama_2013,2013.0,7.6,6.9975000000000005,0.0,61.53333333333333,72.96666666666668
tehama_2014,2014.0,7.6,31.947000000000003,,62.69999999999999,73.2
tehama_2015,2015.0,7.2,13.357999999999999,,62.34000000000001,72.7
tehama_2016,2016.0,7.6,33.04,,61.660000000000004,71.6
san_mateo_2014,2014.0,,24.84,,,
nevada_2010,2010.0,2.0,60.552,69.91999999999999,50.21428571428572,61.225
nevada_2013,2013.0,2.0,13.229999999999999,34.2,51.300000000000004,64.925
nevada_2015,2015.0,1.8,29.837142857142855,43.720000000000006,53.52222222222221,66.07777777777778
nevada_2016,2016.0,,59.83833333333333,60.05999999999999,51.6,63.77777777777778
nevada_2014,2014.0,1.8,41.602999999999994,14.066666666666668,53.089999999999996,65.74
nevada_2012,2012.0,2.0,49.691428571428574,121.55000000000001,50.511111111111106,63.62222222222223
nevada_2011,2011.0,2.0,46.42166666666666,90.4,49.857142857142854,61.275000000000006
lake_2010,2010.0,,56.87,0.0,56.775,67.05
lake_2011,2011.0,,,,57.1,67.25999999999999
lake_2012,2012.0,,,,58.1,70.775
lake_2013,2013.0,,9.71,,59.6,71.13333333333334
lake_2014,2014.0,,41.505,,60.48333333333334,71.53333333333335
lake_2015,2015.0,,23.009999999999998,0.0,60.35,71.5
lake_2016,2016.0,,51.835,0.0,58.550000000000004,68.68333333333332
sonoma_2012,2012.0,4.5,43.950625,0.0,57.74285714285714,69.54285714285713
sonoma_2013,2013.0,4.5,9.732222222222221,,58.18333333333333,70.35000000000001
sonoma_2014,2014.0,4.5,40.55818181818182,,60.385714285714286,71.95714285714286
sonoma_2015,2015.0,4.3,18.197368421052634,,60.228571428571435,72.21428571428572
sonoma_2016,2016.0,4.9,45.016666666666666,,59.25,71.06666666666666
sonoma_2010,2010.0,4.3,51.47562500000001,0.0,55.87500000000001,65.575
sonoma_2011,2011.0,4.0,30.759230769230765,0.0,56.080000000000005,67.02000000000001
merced_2010,2010.0,6.0,15.008333333333333,0.0,61.8,74.72
merced_2011,2011.0,,9.603333333333333,,61.23333333333333,74.75
merced_2012,2012.0,,8.093333333333334,0.0,62.725,76.92500000000001
merced_2013,2013.0,,2.9539999999999997,0.0,62.65999999999999,77.16
merced_2014,2014.0,6.5,9.697999999999999,0.0,65.58333333333333,79.93333333333332
merced_2015,2015.0,6.0,5.581999999999999,0.0,64.13333333333334,78.46666666666665
merced_2016,2016.0,5.8,13.580000000000002,0.0,64.06666666666668,78.10000000000001
mariposa_2010,2010.0,,53.83,162.3,51.0,59.63333333333333
mariposa_2012,2012.0,,34.215999999999994,,55.81428571428571,66.81428571428572
mariposa_2013,2013.0,,10.1625,,55.32000000000001,65.9
mariposa_2014,2014.0,,21.91,,57.96666666666667,68.69999999999999
mariposa_2015,2015.0,,22.973333333333333,,57.06666666666667,67.61666666666666
mariposa_2016,2016.0,,38.1625,,56.300000000000004,66.78333333333335
mariposa_2011,2011.0,,29.990000000000002,,52.8,62.879999999999995
stanislaus_2010,2010.0,6.3,17.335,0.0,61.23333333333334,71.63333333333333
stanislaus_2011,2011.0,5.8,10.81,,60.55,71.4
stanislaus_2012,2012.0,6.3,12.74,,62.650000000000006,73.85
stanislaus_2013,2013.0,6.0,4.605,0.0,62.95,74.55
stanislaus_2014,2014.0,6.5,13.21,,64.85,75.8
stanislaus_2015,2015.0,6.5,9.026666666666666,0.0,64.06666666666668,75.4
stanislaus_2016,2016.0,6.5,18.59,0.0,64.7,75.5
sutter_2012,2012.0,,23.57,,,
sutter_2010,2010.0,,22.34,0.0,,
sutter_2013,2013.0,,6.41,,,
sutter_2014,2014.0,,19.35,,,
sutter_2015,2015.0,,8.85,,,
sutter_2016,2016.0,,22.33,0.0,,
colusa_2011,2011.0,,,,59.45,73.05
colusa_2012,2012.0,,,,60.5,75.2
colusa_2013,2013.0,,,,61.1,77.0
colusa_2014,2014.0,,,,63.3,78.2
colusa_2015,2015.0,,6.73,,63.2,77.8
colusa_2016,2016.0,,16.81,,62.3,75.94999999999999
colusa_2010,2010.0,,,,,
san_luis_obispo_2010,2010.0,6.15,26.394,0.0,58.82222222222223,72.12222222222222
san_luis_obispo_2011,2011.0,6.15,15.8,,58.79999999999999,73.14999999999999
san_luis_obispo_2012,2012.0,6.15,18.06625,,60.716666666666676,75.225
san_luis_obispo_2013,2013.0,5.8,3.7022222222222223,0.0,60.96153846153845,75.7923076923077
san_luis_obispo_2014,2014.0,6.25,14.775,,63.04615384615385,77.05384615384615
san_luis_obispo_2015,2015.0,6.35,9.76875,,62.1,75.48181818181818
san_luis_obispo_2016,2016.0,6.4,19.189,,61.55,75.17
modoc_2015,2015.0,5.1,21.065555555555555,30.333333333333332,49.08181818181819,60.7
modoc_2016,2016.0,5.6,25.981250000000003,48.55,47.054545454545455,58.136363636363626
modoc_2010,2010.0,5.6,28.97142857142857,36.06,45.33,57.21999999999999
modoc_2011,2011.0,5.1,24.286666666666665,29.4,44.910000000000004,57.05
modoc_2012,2012.0,5.4,23.60857142857143,58.4,47.275,60.29999999999999
modoc_2013,2013.0,4.7,12.996666666666668,18.9,46.38181818181818,58.854545454545466
modoc_2014,2014.0,5.6,24.842857142857138,9.15,48.800000000000004,61.099999999999994
san_benito_2010,2010.0,,17.0925,0.0,57.760000000000005,69.02000000000001
san_benito_2011,2011.0,,12.185,,57.575,69.225
san_benito_2012,2012.0,,14.665,,59.3,71.30000000000001
san_benito_2013,2013.0,,3.5833333333333335,,60.833333333333336,74.66666666666666
san_benito_2014,2014.0,,14.28,,62.575,75.35
san_benito_2015,2015.0,,8.77,,61.275000000000006,74.05
san_benito_2016,2016.0,,15.835999999999999,,59.78000000000001,72.45
fresno_2010,2010.0,5.6,28.981666666666666,0.0,56.354545454545466,68.61818181818182
fresno_2011,2011.0,5.4,16.81125,0.0,56.784615384615385,69.79230769230769
fresno_2012,2012.0,5.6,18.414,0.0,58.215384615384615,70.35384615384615
fresno_2013,2013.0,5.4,4.2272727272727275,0.0,58.839999999999996,71.32666666666665
fresno_2014,2014.0,5.8,9.975,0.0,60.643750000000004,73.2
fresno_2015,2015.0,5.6,9.60818181818182,0.0,59.611764705882344,71.80588235294118
fresno_2016,2016.0,6.0,17.884285714285717,0.0,58.107142857142854,70.5142857142857
