"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","PRCP","SNOW","TAVG","TMAX","WDMV"
"USC00043939","HETCH HETCHY, CA US","37.9613","-119.783","1179.6","2015",,"29.97",,"57.5","68.7",
"USC00043939","HETCH HETCHY, CA US","37.9613","-119.783","1179.6","2016",,"39.41","28.3",,,
"USR0000CELI","MOUNT ELIZABETH CALIFORNIA, CA US","38.0631","-120.2469","1503.6","2010",,,,"53.9","62.6",
"USR0000CELI","MOUNT ELIZABETH CALIFORNIA, CA US","38.0631","-120.2469","1503.6","2011",,,,"54.3","63.1",
"USR0000CELI","MOUNT ELIZABETH CALIFORNIA, CA US","38.0631","-120.2469","1503.6","2012",,,,"56.9","65.8",
"USR0000CELI","MOUNT ELIZABETH CALIFORNIA, CA US","38.0631","-120.2469","1503.6","2013",,,,"57.7","67.2",
"USR0000CELI","MOUNT ELIZABETH CALIFORNIA, CA US","38.0631","-120.2469","1503.6","2014",,,,,,
"USR0000CELI","MOUNT ELIZABETH CALIFORNIA, CA US","38.0631","-120.2469","1503.6","2015",,,,"58.5","67.3",
"USR0000CELI","MOUNT ELIZABETH CALIFORNIA, CA US","38.0631","-120.2469","1503.6","2016",,,,"57.4","66.1",
"USC00048353","SONORA, CA US","37.9672","-120.3872","510.5","2010",,"45.30","0.0","56.3","70.4",
"USC00048353","SONORA, CA US","37.9672","-120.3872","510.5","2011",,"29.13",,"55.6","70.3",
"USC00048353","SONORA, CA US","37.9672","-120.3872","510.5","2012",,,,"57.9","72.9",
"USC00048353","SONORA, CA US","37.9672","-120.3872","510.5","2013",,"9.54",,"57.6","73.8",
"USC00048353","SONORA, CA US","37.9672","-120.3872","510.5","2014",,"24.56",,"59.9","75.4",
"USC00048353","SONORA, CA US","37.9672","-120.3872","510.5","2015",,"17.39",,"59.0","74.4",
"USC00048353","SONORA, CA US","37.9672","-120.3872","510.5","2016",,"34.53",,,,
"USC00045400","MATHER, CA US","37.885","-119.8561","1374.6","2010",,"48.33","154.0",,,
